193.181.211.52:2053#DK [1421.18ms | 0.0Mbps]
193.180.209.21:443#DK [1423.55ms | 0.0Mbps]
193.180.215.69:443#DK [1426.77ms | 0.0Mbps]
193.180.213.29:8443#DK [1442.26ms | 0.0Mbps]
130.94.116.44:443#EC [231.12ms | 0.0Mbps]
185.36.141.81:443#EE [183.42ms | 0.0Mbps]
185.36.141.23:443#EE [184.63ms | 0.0Mbps]
185.36.140.244:443#EE [186.95ms | 0.0Mbps]
95.85.243.122:443#EE [188.21ms | 0.0Mbps]
185.36.141.204:443#EE [190.25ms | 0.0Mbps]
185.155.97.85:443#EE [194.01ms | 0.0Mbps]
93.113.214.99:443#EE [210.01ms | 0.0Mbps]
46.36.216.195:443#EE [220.03ms | 0.0Mbps]
185.36.141.193:443#EE [221.05ms | 0.0Mbps]
46.36.221.203:443#EE [223.72ms | 0.0Mbps]
93.93.119.91:443#ES [196.36ms | 0.0Mbps]
185.236.25.130:8443#ES [252.22ms | 0.0Mbps]
185.236.25.120:443#ES [268.49ms | 0.0Mbps]
185.121.15.33:443#ES [279.09ms | 0.0Mbps]
185.114.72.31:2053#ES [298.69ms | 0.0Mbps]
103.45.245.208:8443#ES [299.78ms | 0.0Mbps]
185.114.72.31:8443#ES [302.85ms | 0.0Mbps]
141.253.194.63:443#ES [396.97ms | 0.0Mbps]
185.223.82.195:443#ES [526.43ms | 0.0Mbps]
91.149.243.34:443#ES [1240.52ms | 0.0Mbps]
95.216.209.182:443#FI [181.5ms | 0.0Mbps]
46.62.164.121:443#FI [182.08ms | 0.0Mbps]
65.21.182.84:8443#FI [184.27ms | 0.0Mbps]
95.217.129.198:443#FI [187.44ms | 0.0Mbps]
46.62.166.149:443#FI [192.74ms | 0.0Mbps]
5.61.89.87:443#FI [197.73ms | 0.0Mbps]
95.216.221.75:443#FI [198.4ms | 0.0Mbps]
46.62.170.84:443#FI [207.38ms | 0.0Mbps]
89.167.62.25:443#FI [210.45ms | 0.0Mbps]
95.216.219.185:443#FI [210.83ms | 0.0Mbps]
51.77.140.9:2053#FR [160.46ms | 0.0Mbps]
51.77.140.38:8443#FR [167.26ms | 0.0Mbps]
46.8.225.124:443#FR [170.33ms | 0.0Mbps]
51.77.213.238:2053#FR [170.39ms | 0.0Mbps]
146.59.228.153:2053#FR [170.7ms | 0.0Mbps]
95.182.97.46:8443#FR [171.36ms | 0.0Mbps]
46.8.225.49:443#FR [171.71ms | 0.0Mbps]
95.182.96.247:443#FR [171.82ms | 0.0Mbps]
51.91.100.159:2053#FR [174.6ms | 0.0Mbps]
95.182.97.6:2053#FR [174.7ms | 0.0Mbps]
157.254.18.180:443#GB [147.53ms | 0.0Mbps]
57.129.128.100:443#GB [189.64ms | 0.0Mbps]
57.129.137.198:443#GB [194.92ms | 0.0Mbps]
57.128.183.137:8443#GB [200.95ms | 0.0Mbps]
57.128.182.255:8443#GB [205.42ms | 0.0Mbps]
57.128.182.255:443#GB [205.59ms | 0.0Mbps]
57.129.137.60:8443#GB [206.99ms | 0.0Mbps]
57.128.183.82:443#GB [209.81ms | 0.0Mbps]
188.119.149.172:443#GB [212.23ms | 0.0Mbps]
57.128.183.142:8443#GB [212.59ms | 0.0Mbps]
94.43.238.112:2083#GE [324.39ms | 0.0Mbps]
151.236.29.97:443#GR [475.48ms | 0.0Mbps]
103.43.191.121:8443#HK [65.05ms | 0.0Mbps]
8.210.29.68:443#HK [72.3ms | 0.0Mbps]
47.76.218.163:443#HK [155.01ms | 0.0Mbps]
103.39.78.118:8443#HK [253.04ms | 0.0Mbps]
154.3.32.164:8443#HK [289.53ms | 0.0Mbps]
176.98.181.71:443#HK [309.78ms | 0.0Mbps]
138.124.111.115:443#HK [380.52ms | 0.0Mbps]
104.253.175.202:443#HK [386.22ms | 0.0Mbps]
96.9.228.241:443#HK [413.6ms | 0.0Mbps]
151.245.90.96:8443#HK [511.85ms | 0.0Mbps]
46.183.184.60:443#HR [280.92ms | 0.0Mbps]
91.219.236.202:2053#HU [191.93ms | 0.0Mbps]
91.219.236.202:8443#HU [223.76ms | 0.0Mbps]
180.149.37.38:8443#HU [296.37ms | 0.0Mbps]
147.139.189.225:443#ID [329.64ms | 0.0Mbps]
156.244.1.250:8443#ID [427.94ms | 0.0Mbps]
54.229.164.147:2053#IE [244.65ms | 0.0Mbps]
52.19.138.237:8443#IE [278.33ms | 0.0Mbps]
52.19.138.237:2053#IE [281.82ms | 0.0Mbps]
107.172.145.153:443#IE [311.08ms | 0.0Mbps]
54.229.164.147:8443#IE [1208.56ms | 0.0Mbps]
185.162.127.54:443#IL [285.82ms | 0.0Mbps]
64.176.170.68:8443#IL [1232.91ms | 0.0Mbps]
80.178.58.56:443#IL [1273.41ms | 0.0Mbps]
13.235.254.54:443#IN [优选高速 138.28ms | 28.82Mbps]
139.84.166.44:443#IN [195.08ms | 0.0Mbps]
52.66.200.252:443#IN [优选高速 199.37ms | 25.17Mbps]
98.70.26.236:443#IN [233.56ms | 0.0Mbps]
80.225.220.55:443#IN [348.58ms | 0.0Mbps]
139.84.139.219:443#IN [458.61ms | 0.0Mbps]
139.84.221.153:8443#IN [474.01ms | 0.0Mbps]
139.84.146.103:8443#IN [483.42ms | 0.0Mbps]
129.154.251.13:443#IN [550.13ms | 0.0Mbps]
143.110.182.104:443#IN [746.9ms | 0.0Mbps]
185.247.226.138:443#IS [272.24ms | 0.0Mbps]
151.236.24.54:443#IS [468.08ms | 0.0Mbps]
89.147.111.223:2053#IS [1269.16ms | 0.0Mbps]
89.147.109.212:443#IS [1280.63ms | 0.0Mbps]
80.211.48.113:443#IT [246.12ms | 0.0Mbps]
185.47.172.172:8443#IT [247.08ms | 0.0Mbps]
113.30.151.151:8443#IT [360.34ms | 0.0Mbps]
113.30.151.151:2053#IT [363.63ms | 0.0Mbps]
5.249.146.98:443#IT [530.47ms | 0.0Mbps]
45.92.70.176:8443#IT [1251.08ms | 0.0Mbps]
172.238.238.203:2053#IT [1256.76ms | 0.0Mbps]
154.31.117.17:443#JP [优选高速 30.01ms | 98.34Mbps]
154.36.187.205:8443#JP [34.17ms | 8.36Mbps]
154.19.187.39:443#JP [优选高速 58.83ms | 19.77Mbps]
154.83.93.93:443#JP [77.06ms | 0.0Mbps]
153.121.45.101:443#JP [87.39ms | 0.0Mbps]
153.121.76.150:443#JP [88.01ms | 0.0Mbps]
132.145.127.203:8443#JP [127.11ms | 0.0Mbps]
47.242.28.106:443#JP [145.92ms | 0.0Mbps]
132.145.127.203:2053#JP [175.34ms | 0.0Mbps]
126.220.82.161:443#JP [184.99ms | 0.0Mbps]
5.144.180.142:443#KG [410.35ms | 0.0Mbps]
188.240.213.98:8443#KG [1213.89ms | 0.0Mbps]
188.240.213.98:2053#KG [1215.49ms | 0.0Mbps]
188.240.213.41:2053#KG [1226.15ms | 0.0Mbps]
152.67.210.234:443#KR [56.12ms | 0.0Mbps]
119.28.162.39:8443#KR [176.99ms | 0.0Mbps]
118.218.10.159:443#KR [183.02ms | 9.47Mbps]
123.111.169.70:443#KR [198.72ms | 0.0Mbps]
123.111.169.70:2087#KR [198.84ms | 0.0Mbps]
123.111.169.70:2083#KR [198.95ms | 0.0Mbps]
123.111.169.70:2096#KR [199.76ms | 0.0Mbps]
123.111.169.70:2053#KR [203.02ms | 7.2Mbps]
141.164.42.2:443#KR [216.92ms | 0.0Mbps]
158.180.71.69:443#KR [优选高速 243.51ms | 17.4Mbps]
185.253.8.65:2053#KZ [257.17ms | 0.0Mbps]
94.247.128.245:443#KZ [265.65ms | 0.0Mbps]
185.5.74.129:443#KZ [271.87ms | 0.0Mbps]
94.131.92.95:443#KZ [272.01ms | 0.0Mbps]
46.8.254.102:8443#KZ [284.31ms | 0.0Mbps]
92.118.115.22:2053#KZ [290.72ms | 0.0Mbps]
46.8.254.32:443#KZ [297.16ms | 0.0Mbps]
46.247.41.214:443#KZ [297.98ms | 0.0Mbps]
5.39.253.51:8443#KZ [298.03ms | 0.0Mbps]
185.253.8.44:2053#KZ [299.16ms | 0.0Mbps]
185.237.185.110:2053#LT [193.48ms | 0.0Mbps]
46.29.234.91:8443#LT [229.65ms | 0.0Mbps]
185.237.185.182:2053#LT [231.85ms | 0.0Mbps]
130.12.171.96:8443#LT [232.93ms | 0.0Mbps]
5.199.173.184:443#LT [455.33ms | 0.0Mbps]
5.199.173.195:443#LT [1179.13ms | 0.0Mbps]
185.80.128.115:8443#LT [1189.57ms | 0.0Mbps]
85.206.172.44:443#LT [1208.27ms | 0.0Mbps]
193.68.89.220:443#LV [185.72ms | 0.0Mbps]
185.237.218.22:443#LV [189.08ms | 0.0Mbps]
188.130.154.155:443#LV [202.85ms | 0.0Mbps]
176.126.162.160:443#LV [206.94ms | 0.0Mbps]
193.68.89.220:8443#LV [213.59ms | 0.0Mbps]
185.237.219.140:443#LV [217.07ms | 0.0Mbps]
146.19.84.236:2053#LV [222.99ms | 0.0Mbps]
185.237.219.224:2087#LV [223.88ms | 0.0Mbps]
94.183.190.163:443#LV [238.32ms | 0.0Mbps]
94.183.190.73:2053#LV [238.93ms | 0.0Mbps]
91.229.239.172:443#MD [1284.93ms | 0.0Mbps]
193.36.38.17:443#MD [1422.59ms | 0.0Mbps]
46.183.185.142:443#MK [1339.42ms | 0.0Mbps]
131.196.254.151:443#MX [227.0ms | 0.0Mbps]
96.126.190.196:443#MY [185.1ms | 0.0Mbps]
47.250.212.59:443#MY [319.74ms | 0.0Mbps]
47.250.212.59:2053#MY [321.64ms | 0.0Mbps]
47.250.81.46:2087#MY [332.23ms | 0.0Mbps]
178.173.254.136:443#NL [152.44ms | 0.0Mbps]
